Issuer Ticker,Issuer Name,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Offer Price,Market Cap at Offer (M),cusip,Cash Flow per Share,Offer Size (M).1,Shares Outstanding (M).1,Instit Owner (% Shares Out),Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Sector,Industry Group,Industry Subgroup,Fed Rate,CPI,Consumer Confidence,Unemployment Rate,Trade Month,Trade Day,Trade Year,Underpriced
1553838D US,Entropic Communications Inc,-26.1,-51.2,-32.8,55.2,67.6148,6.0,405.69,29384R105,-0.2,55.2,67.6148,,,8-Jun,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon,4.66,-0.0670863129647814,75.5,5.0,12,6,2007,1
1556442D US,GigPeak Inc,45.4,3.8,2.1,41.7,16.4847,6.95,114.57,37518Q109,0.0554221,41.7,16.4847,0.00454306,3073.0,6.50 - 7.50,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon,1.4,-0.158144438587237,96.7,5.5,7,23,2004,0
1556530D US,LoopNet Inc,,,1.4,82.8,35.6521,12.0,427.83,543524300,,82.8,35.6521,,,13-Nov,Priced Within Range,Financial,Real Estate,Real Estate Mgmnt/Servic,5.02,0.1975308641975319,84.9,4.6,6,7,2006,1
1566353D US,WillScot Mobile Mini Holdings,38.5,8.4,5.7,500.0,50.0,10.0,420.0,N.A.,2.3,500.0,50.0,,,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Rental Auto/Equipment,0.14,-0.155675657530359,87.2,5.0,9,11,2015,1
1567639D US,RiverSource LaSalle Internatio,,,,222.5,0.0,25.0,0.0,76932W102,,222.5,0.0,,,25 - 25,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,5.26,0.61107186747047,88.3,4.4,5,25,2007,0
1574849D US,Purple Communications Inc,,,-107.5,160.0,47.1368,16.0,754.19,746389105,,160.0,47.1368,,,14 - 16,Priced Within Range,Communications,Telecommunications,Cellular Telecom,6.17,0.058411214953279,109.2,3.8,4,7,2000,0
1576198D US,ArcSight LLC,,,16.3,61.7573,30.941,9.0,278.47,39666102,,61.7573,30.941,0.0271181,9386.0,11-Sep,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Computer Equip,3.12,0.290411218495348,70.8,4.9,2,14,2008,0
1578924D US,Terrapin 3 Acquisition Corp,,,-0.2,212.75,21.275,10.0,212.75,88104P203,,212.75,21.275,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.1,-0.0390193964161092,81.8,6.2,7,17,2014,1
1580477D US,Higher One Holdings Inc,-28.2,6.8,4.9,124.2,55.0715,12.0,660.858,42983D104,-0.3,124.2,55.0715,,,15 - 17,Priced Below Range,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,0.2,-0.0976267084673888,76.0,9.4,6,17,2010,1
1612850D US,Atlantic Liberty Financial Cor,1.2,3.8,0.1,17.1098,0.0,10.0,0.0,48668107,2.3,17.1098,0.0,,,10-Oct,Priced Within Range,Financial,Savings&Loans,S&L/Thrifts-Eastern US,1.85,0.165745856353599,80.6,5.7,10,23,2002,1
1618448D US,Alliance HealthCare Services I,6.8,0.1,-0.2,121.875,47.4372,13.0,616.68,18606301,10.0,121.875,47.4372,,,15 - 17,Priced Below Range,"Consumer, Non-cyclical",Healthcare-Services,MRI/Medical Diag Imaging,3.95,-0.280898876404488,92.4,4.6,7,27,2001,1
1619058D US,Burger King Holdings Inc,-6.6,4.5,2.5,488.75,136.799,17.0,2325.58,121208201,,488.75,136.799,,,15 - 17,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Restaurants,4.84,0.4962779156327429,79.1,4.6,5,18,2006,1
1619236D US,BlackRock California Insured M,,,,75.0,0.0,15.0,0.0,92484104,,75.0,0.0,,,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.85,0.165745856353599,80.6,5.7,10,29,2002,0
1624250D US,Bazaarvoice Inc,0.7,-7.9,-2.9,130.883,56.8562,12.0,682.27,73271108,0.1,130.883,56.8562,0.360817,311026.0,10-Aug,Priced Above Range,Technology,Software,Applications Software,0.11,0.440297355127631,75.3,8.3,2,24,2012,1
1624831D US,TIAA FSB Holdings Inc,6.4,16.1,0.5,221.03,116.062,10.0,1160.62,29977G102,4.3,221.03,116.062,,,12-Nov,Priced Below Range,Financial,Savings&Loans,S&L/Thrifts-Southern US,0.16,-0.1173479366321049,79.3,8.2,5,3,2012,1
1627503D US,Colony Capital Inc/Old,180.0,17.8,1.5,287.5,14.631,20.0,292.62,19624R106,3.3,287.5,14.631,0.0428489,48584.0,20 - 20,Priced Within Range,Financial,REITS,REITS-Mortgage,0.15,0.0625480693495816,73.5,9.8,9,24,2009,0
1638709D US,Inforte Corp,4.0,-8.2,-7.2,64.0,11.7212,32.0,375.078,45677R107,0.2,64.0,11.7212,,,30 - 32,Priced Within Range,Technology,Computers,Computer Services,5.79,0.592417061611377,111.3,4.1,2,17,2000,1
1638762D US,ConvergeOne Holdings Inc,,,2.5,150.0,15.555,10.0,155.55,34985B202,-0.1,150.0,15.555,,,10-Oct,Priced Within Range,Technology,Computers,Computer Services,0.82,0.296553336532688,97.0,4.4,4,7,2017,1
1646391D US,Hostess Brands Inc,12.3,10.4,4.7,375.0,37.5,10.0,375.0,382866200,1.5,375.0,37.5,,,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Food,Food-Baking,0.08,-0.141627628281935,91.9,5.1,8,14,2015,1
1648416D US,ExactTarget LLC,,,-7.7,185.725,65.7518,19.0,1249.28,30064K105,,185.725,65.7518,,,15 - 17,Priced Above Range,Communications,Internet,E-Marketing/Info,0.11,0.7594558623930859,76.2,8.2,3,22,2012,1
1650928D US,Chicopee Bancorp Inc,7.8,12.4,0.4,81.9907,0.0,0.0,0.0,168565109,1.0,81.9907,0.0,,,10-Oct,,Financial,Savings&Loans,S&L/Thrifts-Eastern US,5.05,0.295712173484489,84.7,4.7,7,20,2006,0
1655912D US,SolarWinds North America Inc,27.8,18.2,11.2,174.171,64.1863,12.5,802.33,83416B109,2.6,174.171,64.1863,,,9.50 - 11.50,Priced Above Range,Technology,Software,Communications Software,0.22,0.288876383417745,68.7,9.4,5,20,2009,1
1656874D US,Archipelago Holdings Inc,,,2.9,145.475,46.3109,11.5,532.58,03957A104,,145.475,46.3109,,,11.50 - 11.50,Priced Within Range,Financial,Diversified Finan Serv,Finance-Invest Bnkr/Brkr,1.29,0.0527983104540587,95.9,5.4,8,12,2004,1
1664784D US,Gilead Pharmasset LLC,-12.0,-10165.5,-60.3,49.5,21.0198,9.0,189.18,71715N106,-1.1,49.5,21.0198,,,10-Sep,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,5.3,0.649616268650889,87.1,4.5,4,27,2007,1
1667565D US,LIN Media LLC,17.8,24.2,-0.7,430.1,47.56,22.0,1046.32,532771102,0.9,430.1,47.56,0.00380388,1500.0,19 - 22,Priced Within Range,Communications,Media,Television,1.88,0.0,96.9,5.8,5,3,2002,1
1667717D US,DemandTec Inc,4.2,-16.5,-15.9,66.0,26.1885,11.0,288.07,24802R506,0.3,66.0,26.1885,,,12-Oct,Priced Within Range,Technology,Software,Decision Support Softwar,5.3,-0.1833902227087109,83.4,4.6,8,9,2007,0
1672001D US,SI International Inc,10.5,3.7,3.4,60.9,8.43974,14.0,118.16,78427V102,1.4,60.9,8.43974,,,14 - 16,Priced Within Range,Technology,Computers,Computer Services,1.74,0.0,84.2,5.9,11,12,2002,0
1679143D US,Andina Acquisition Corp II,,,-2.0,40.0,0.0,10.0,0.0,N.A.,-0.3,40.0,0.0,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.07,-0.2110680379081459,91.3,5.1,11,25,2015,0
1696855D US,Daseke Inc,7.0,3.6,5.2,199.599,19.9599,10.0,199.599,42588J209,,199.599,19.9599,,,10-Oct,Priced Within Range,Industrial,Transportation,Transport-Truck,0.13,0.0067047159295661,93.1,5.2,7,23,2015,0
1702253D US,Towers Watson & Co,4.6,10.5,8.0,70.0,5.6,12.5,70.0,891894107,8.2,70.0,5.6,0.00259202,1800.0,11.50 - 13.50,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Consulting Services,6.6,0.1727115716753108,105.8,3.9,10,11,2000,1
1705055D US,Netlogic I LLC,,,-6.9,69.3,18.8779,12.0,226.53,64118B100,,69.3,18.8779,,,14-Dec,Priced Within Range,Technology,Semiconductors,Electronic Compo-Semicon,1.4,-0.158144438587237,96.7,5.5,7,9,2004,0
1708781D US,Complete Genomics Inc,106.0,-374.0,-69.6,54.0,25.8091,9.0,232.282,20454K104,-1.6,54.0,25.8091,,,9-Sep,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,0.2,0.0420646423819506,71.6,9.8,11,11,2010,0
1709985D US,Chiesi USA Inc,14.4,-10.2,2.7,42.0,23.9069,7.0,167.35,21924P103,0.7,42.0,23.9069,,,9-Jul,Priced Within Range,"Consumer, Non-cyclical",Pharmaceuticals,Therapeutics,1.03,0.5851063829787189,90.2,5.6,5,27,2004,1
1712099D US,Waitr Holdings Inc,-10.8,-2.8,-42.7,250.0,25.0,10.0,0.0,51476W206,-0.0194123,250.0,25.0,6.55088,4577820.0,10-Oct,Priced Within Range,Communications,Internet,E-Commerce/Services,0.3,0.404579099811517,94.7,4.8,5,26,2016,0
1715399D US,Accredited Home Lenders Holdin,,,-6.5,84.46,18.4688,8.0,147.75,00437P107,,84.46,18.4688,,,10-Aug,Priced Within Range,Financial,Diversified Finan Serv,Finance-Mtge Loan/Banker,1.33,0.770500825536602,79.9,5.9,2,14,2003,0
1719252D US,Haymaker Acquisition Corp,,,,330.0,33.0,10.0,0.0,420870206,,330.0,33.0,0.687215,283476.0,10-Oct,Priced Within Range,"Consumer, Cyclical",Leisure Time,Recreational Centers,1.06,-0.0632042103727645,100.7,4.2,10,25,2017,1
1719848D US,Education Realty Trust Inc,14.5,14.3,4.2,349.6,19.174,16.0,306.78,28140H203,2.0,349.6,19.174,0.801484,646033.0,16 - 18,Priced Within Range,Financial,REITS,REITS-Apartments,1.97,0.2101944298475958,95.5,5.3,1,26,2005,1
1729307D US,Conyers Park Acquisition Corp,,,,402.5,40.25,10.0,402.5,212894208,,402.5,40.25,,,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,0.41,-0.161813640474981,90.0,4.8,7,15,2016,1
1730313D US,InfraSource Services LLC,16.3,2.6,4.5,111.8,39.1672,13.0,509.17,45684P102,1.7,111.8,39.1672,,,13 - 15,Priced Within Range,Industrial,Engineering&Construction,Building-Heavy Construct,1.03,0.5851063829787189,90.2,5.6,5,7,2004,0
173150Q US,Equinix Inc/Old,387.2,-297.1,-20.3,240.0,73.7729,12.0,885.27,29444U106,-0.8,240.0,73.7729,,,12-Oct,Priced Within Range,Communications,Internet,Web Hosting/Design,6.51,0.0,107.3,4.1,8,11,2000,1
1745597D US,Tesla Energy Operations Inc/DE,82.7,32.6,2.9,105.8,73.0795,8.0,584.64,83416T100,-508777.0,105.8,73.0795,,,8-Aug,Priced Within Range,Energy,Energy-Alternate Sources,Energy-Alternate Sources,0.16,-0.2693064490207349,72.9,7.9,12,13,2012,1
1752683D US,First Connecticut Bancorp Inc/,12.2,17.2,0.6,171.925,17.8802,10.0,178.8,319850103,1.4,171.925,17.8802,0.356508,57936.0,10-Oct,Priced Within Range,Financial,Banks,Commer Banks-Eastern US,0.1,-0.1070967056699219,71.5,9.1,6,30,2011,1
1753322D US,Neuberger Berman Realty Income,,,,410.1,0.0,15.0,0.0,64126G109,,410.1,0.0,,,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.29,-0.2171552660151868,86.0,6.0,4,25,2003,1
1762363D US,Sotera Defense Solutions Inc,,,5.3,59.8,9.03643,13.0,117.47,37950B107,,59.8,9.03643,,,14 - 16,Priced Below Range,Communications,Internet,Internet Security,0.11,0.0707753368767078,67.4,9.9,11,20,2009,1
1763405D US,Alus Liquidation Corp,,,-70.7,53.3646,10.625,6.0,63.75,21211206,,53.3646,10.625,,,6-Jun,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,3.3,0.5117707267144339,89.1,4.9,8,18,2005,0
1766050D US,Paragon Commercial Corp,,28.2,0.9,28.7776,5.4497,34.0,185.29,69911U403,2.7,28.7776,5.4497,0.174949,9553.0,33 - 35,Priced Within Range,Financial,Banks,Commer Banks-Southern US,0.37,0.3284366167281879,93.5,4.9,6,16,2016,1
1769019D US,ViaCell Inc,22.4,-38.6,-23.2,60.375,36.0725,7.0,252.51,92554J105,-0.2,60.375,36.0725,,,9-Jul,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.97,0.2101944298475958,95.5,5.3,1,21,2005,1
1778214D US,HomeAway Inc,28.9,3.0,0.3,248.4,79.8298,27.0,2155.4,43739Q100,1.5,248.4,79.8298,,,24 - 27,Priced Within Range,Communications,Internet,Internet Incubators,0.1,-0.1070967056699219,71.5,9.1,6,29,2011,1
1780601D US,First Trust Strategic High Inc,,,,176.0,0.0,20.0,0.0,337347108,,176.0,0.0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,3.36,0.4627249357326559,96.5,5.0,7,26,2005,0
1793654D US,Highland Distressed Opportunit,-125.4,,-49.8,259.264,17.6176,15.0,264.26,430067108,7.6,259.264,17.6176,,,15 - 15,Priced Within Range,Financial,Investment Companies,Investment Companies,5.29,0.535036755987662,91.3,4.5,2,22,2007,0
1793839D US,Regency Energy Partners LP,92.7,-3.2,-1.0,283.0,19.5039,20.0,390.08,75885Y107,2.0,283.0,19.5039,,,19 - 21,Priced Within Range,Energy,Pipelines,Pipelines,4.09,0.7621951219512159,91.2,4.7,1,31,2006,0
1797629D US,Amgen Rockville Inc,,,-35.2,72.0,26.6754,12.0,320.1,59509C105,,72.0,26.6754,,,14-Dec,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,1.11,-0.1079913606911449,89.6,6.0,10,30,2003,0
1800354D US,Warner Music Group Corp,18.7,5.7,5.8,554.2,143.02,17.0,2431.34,934550104,,554.2,143.02,,,22 - 24,Priced Below Range,"Consumer, Cyclical",Entertainment,Music,2.97,-0.1027749229187949,86.9,5.1,5,10,2005,0
1811045D US,Blue Buffalo Pet Products Inc,10.8,15.1,25.8,778.126,196.034,20.0,3920.68,09531U102,0.9,778.126,196.034,0.669169,1309190.0,16 - 18,Priced Above Range,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,0.13,0.0067047159295661,93.1,5.2,7,22,2015,1
1812209D US,Match Group Inc/old,24.7,9.3,8.8,460.0,38.3333,12.0,400.0,57665R106,3.5,460.0,38.3333,52.3671,38868900.0,14-Dec,Priced Within Range,Communications,Internet,E-Commerce/Services,0.07,-0.2110680379081459,91.3,5.1,11,19,2015,1
1813314D US,Danisco US Inc/California,7.1,6.3,3.5,126.0,58.8565,18.0,1059.42,368709101,1.0,126.0,58.8565,,,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.86,0.23201856148492,108.3,4.0,7,28,2000,1
1816375D US,Caesars Holdings Inc,4.1,-13.6,-3.0,18.747,125.026,9.0,1125.23,127686103,1.4,18.747,125.026,14.3566,98203600.0,10-Aug,Priced Within Range,"Consumer, Cyclical",Lodging,Casino Hotels,0.11,0.440297355127631,75.3,8.3,2,8,2012,1
1817382D US,DCT Industrial Trust Inc,8.0,24.3,3.0,199.675,168.355,12.25,2062.35,233153204,2.6,199.675,168.355,1.01302,954305.0,11.50 - 12.50,Priced Within Range,Financial,REITS,REITS-Warehouse/Industr,5.27,0.148883374689833,91.7,4.4,12,13,2006,1
1818713D US,Ceres Inc,13.1,-1035.1,-140.4,74.75,24.2279,13.0,314.96,156773400,-3.7,74.75,24.2279,,,16 - 17,Priced Below Range,"Consumer, Non-cyclical",Biotechnology,Agricultural Biotech,0.11,0.440297355127631,75.3,8.3,2,22,2012,1
1820099D US,Capitol Acquisition Corp,,,-0.3,262.49,26.249,10.0,262.49,1.41E+207,0.0707007,262.49,26.249,,,10-Oct,Priced Within Range,Financial,REITS,REITS-Mortgage,4.59,0.5939617873415811,76.1,4.7,11,8,2007,0
1824551D US,Alterra Mountain Co,-2.8,7.1,3.0,215.626,45.007,12.0,540.08,46090K109,1.5,215.626,45.007,0.0355024,14138.0,15 - 17,Priced Below Range,"Consumer, Cyclical",Leisure Time,Leisure&Rec/Games,0.07,0.3720247673236048,81.2,6.6,1,31,2014,0
1832555D US,Array BioPharma Inc,15.1,-84.7,-23.7,48.75,21.3674,7.5,160.26,04269X105,-0.6,48.75,21.3674,11.0815,24722300.0,11-Sep,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,6.61,0.0574712643678087,107.6,3.9,11,17,2000,1
1833548D US,RNI Wind Down Corp,-66.9,-204.4,-29.5,120.0,102.088,12.0,1225.06,769320102,-0.5,120.0,102.088,,,13-Nov,Priced Within Range,Communications,Telecommunications,Networking Products,5.57,0.39977155910909,90.6,4.2,2,16,2001,1
1835647D US,Madison Strategic Sector Premi,,,,110.0,0.0,20.0,0.0,558268108,,110.0,0.0,29.2825,1697890.0,20 - 20,Priced Within Range,Funds,Equity Fund,Unclassified,2.83,0.672529746508014,87.7,5.2,4,26,2005,0
1837321D US,Mavenir Systems Inc,28.1,-20.0,-21.1,55.953,23.2596,10.0,232.6,577675101,-0.6,55.953,23.2596,,,15 - 17,Priced Below Range,Technology,Software,Communications Software,0.08,-0.204242419052338,75.1,6.9,11,7,2013,0
1838130D US,Hycroft Mining Holding Corp,135.3,-79.9,-40.2,208.0,20.8,10.0,208.0,624745204,-0.6,208.0,20.8,,,10-Oct,Priced Within Range,Basic Materials,Mining,Precious Metals,1.42,0.45346899748655,99.7,4.1,2,8,2018,0
1841559D US,Lanyon Solutions Inc,24.1,-10.2,-6.8,189.75,52.9825,15.0,794.74,00506D100,0.4,189.75,52.9825,,,16 - 18,Priced Below Range,Communications,Internet,E-Marketing/Info,0.09,0.4704187527233639,74.3,9.0,5,25,2011,1
1842126D US,NuStar GP Holdings LLC,,,30.0,379.5,42.5,22.0,935.0,67059L102,1.1,379.5,42.5,0.013829,5940.0,22 - 24,Priced Within Range,Energy,Pipelines,Pipelines,5.05,0.295712173484489,84.7,4.7,7,14,2006,0
1846567D US,Information Services Group Inc,11.5,5.5,8.3,258.75,0.0,8.0,0.0,45675Y203,,258.75,0.0,,,8-Aug,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Consulting Services,5.29,0.535036755987662,91.3,4.5,2,1,2007,1
1846987D US,Far Point Acquisition Corp,,,-0.3,632.5,63.25,10.0,632.5,30734W208,-0.0672484,632.5,63.25,27.4359,17353200.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,1.7,0.1593875701543719,98.2,4.0,6,12,2018,1
1849818D US,Advent Claymore Convertible Se,,,,636.118,0.0,20.0,0.0,7639107,,636.118,0.0,1.9063,521704.0,20 - 20,Priced Within Range,Funds,Debt Fund,Unclassified,5.26,0.61107186747047,88.3,4.4,5,25,2007,0
1850242D US,EQT RE Merger Sub Inc,40.7,-27.5,-1.6,1050.0,133.524,21.0,2804.0,762760106,3.0,1050.0,133.524,0.00178395,4068.0,,,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,0.07,0.3720247673236048,81.2,6.6,1,24,2014,1
1850925D US,VCA Inc,17.9,8.3,6.4,173.7,34.2162,10.0,342.16,918194101,4.8,173.7,34.2162,0.0445381,36196.0,14-Dec,Priced Below Range,"Consumer, Non-cyclical",Pharmaceuticals,Veterinary Diagnostics,2.61,-0.1688238604389349,83.9,5.5,11,20,2001,0
1851868D US,Motive Inc,,-50.5,1.6,50.0,25.1554,10.0,251.55,61980V107,-0.5,50.0,25.1554,,,13-Nov,Priced Below Range,Technology,Software,Applications Software,1.02,0.3172924378635659,95.6,5.6,6,25,2004,1
1851869D US,Northeast Midstream Partners L,8.8,40.6,2.2,422.625,34.5978,21.0,726.554,257454108,2.2,422.625,34.5978,106.057,134276000.0,19 - 21,Priced Within Range,Energy,Pipelines,Pipelines,0.09,-0.2512277812553889,86.9,5.7,10,15,2014,1
1853195D US,OpenTable Inc,17.5,17.5,8.0,69.0,22.0546,20.0,441.09,68372A104,2.8,69.0,22.0546,,,16 - 18,Priced Above Range,Communications,Internet,E-Commerce/Services,0.22,0.288876383417745,68.7,9.4,5,21,2009,1
1854789D US,Nikola Corp,,,-67.5,230.0,23.8,10.0,238.0,92243N202,-0.7,230.0,23.8,26.4303,7833940.0,10-Oct,Priced Within Range,"Consumer, Cyclical",Auto Manufacturers,Auto-Med&Heavy Duty Trks,1.7,0.4158916925435,98.0,3.8,5,16,2018,0
1855237D US,Purple Innovation Inc,11.9,0.5,-6.8,155.25,15.525,10.0,155.25,37954X204,-0.4,155.25,15.525,,,10-Oct,Priced Within Range,"Consumer, Cyclical",Home Furnishings,Home Furnishings,0.13,0.0067047159295661,93.1,5.2,7,30,2015,1
1855568D US,Avedro Inc,37.3,-90.7,,70.0,17.0606,14.0,238.848,05355N109,-15.8,70.0,17.0606,0.000582001,101.971,14 - 16,Priced Within Range,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,2.4,0.422705314009692,93.8,3.8,2,14,2019,0
1855817D US,Intelligent Bio Solutions Inc,-77.9,-1900.0,-48.5,21.6002,0.0,17.0,0.0,N.A.,-0.2,21.6002,0.0,4.65521,854370.0,16 - 18,Priced Within Range,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.09,0.0941478467042596,80.7,6.7,12,23,2020,0
1856613D US,Monsanto Co,8.4,15.4,11.3,700.0,255.0,20.0,5100.0,61166W101,7.3,700.0,255.0,0.683214,3014920.0,21 - 24,Priced Below Range,Basic Materials,Chemicals,Agricultural Chemicals,6.6,0.1727115716753108,105.8,3.9,10,18,2000,1
1857470D US,Helios Strategic Mortgage Inco,,,,151.95,0.0,15.0,0.0,42327M109,,151.95,0.0,,,15 - 15,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,1.83,0.1111728738187739,88.1,5.8,7,24,2002,0
1857889D US,Digital Media Solutions Inc,28.5,0.5,0.9,200.0,20.0,10.0,200.0,N.A.,0.5,200.0,20.0,,,10-Oct,Priced Within Range,Communications,Internet,E-Marketing/Info,1.42,0.45346899748655,99.7,4.1,2,13,2018,0
1858847D US,Alta Equipment Group Inc,38.8,-1.7,0.4,143.75,14.8,10.0,148.0,05586Y205,0.9,143.75,14.8,13.5652,1950000.0,10-Oct,Priced Within Range,"Consumer, Non-cyclical",Commercial Services,Rental Auto/Equipment,2.41,0.5295001612890738,97.2,3.7,4,9,2019,0
1860591D US,Fisker Inc,,-444661.0,-33.5,552.0,0.0,10.0,0.0,846784114,-1.0,552.0,0.0,0.140399,77500.0,10-Oct,Priced Within Range,"Consumer, Cyclical",Auto Manufacturers,Auto-Cars/Light Trucks,1.91,0.0555542328357295,96.2,3.8,8,10,2018,1
1861206D US,Logicvision Inc,,,-10.3,45.765,14.1027,9.0,126.92,54140W305,,45.765,14.1027,,,11-Sep,Priced Within Range,Technology,Semiconductors,Semiconductor Equipment,3.02,-0.3365114974761799,82.7,5.3,10,31,2001,1
1861474D US,QuantumScape Corp,,,-3.3,230.0,23.0,10.0,230.0,490073202,-0.3,230.0,23.0,0.521739,150000.0,10-Oct,Priced Within Range,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,0.05,0.5472046927775109,78.1,11.0,6,26,2020,1
1863976D US,Envivio Inc,-3.8,-37.5,-14.5,69.795,26.6577,9.0,239.92,29413T106,-0.2,69.795,26.6577,,,,,Communications,Internet,Internet Connectiv Svcs,0.09,0.3021029504080339,76.4,8.2,4,25,2012,0
1865332D US,TerraForm Global Inc,72.6,-24.7,-2.9,675.0,117.506,15.0,1762.59,88104M101,-0.1,675.0,117.506,0.0814305,91284.0,15 - 15,Priced Within Range,Energy,Energy-Alternate Sources,Energy-Alternate Sources,0.13,0.0067047159295661,93.1,5.2,7,31,2015,0
1866165D US,Small Cap Premium & Dividend I,,,,340.0,0.0,20.0,0.0,83165P101,,340.0,0.0,,,20 - 20,Priced Within Range,Financial,Closed-end Funds,Closed-end Funds,3.36,0.4627249357326559,96.5,5.0,7,26,2005,0
1866284D US,Haymaker Acquisition Corp II,,,,400.0,40.0,10.0,400.0,42087L200,-0.0676374,400.0,40.0,0.00281564,3096.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,2.4,0.0199147181481603,98.2,3.6,6,7,2019,1
1866419D US,Golden Nugget Online Gaming In,40.7,62.0,36.4,316.25,31.625,10.0,316.25,51476X204,-1.3,316.25,31.625,12.0816,3820800.0,10-Oct,Priced Within Range,"Consumer, Cyclical",Entertainment,Internet Gambling,2.45,0.2128758589384109,100.0,3.6,5,7,2019,1
1866425D US,Advent Technologies Holdings I,,-290.3,-26.5,220.521,22.0521,10.0,220.521,00165R200,-0.7,220.521,22.0521,,,10-Oct,Priced Within Range,Energy,Energy-Alternate Sources,Energy-Alternate Sources,2.2,-0.3349348518100969,97.5,3.8,11,16,2018,0
1868884D US,Velodyne Lidar Inc,-35.0,-342.7,-50.2,243.765,24.3765,10.0,243.765,384278206,,243.765,24.3765,0.528685,128875.0,10-Oct,Priced Within Range,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,2.18,0.1766763455725869,98.6,3.8,10,16,2018,0
1870437D US,CarLotz Inc,,-15.4,-25.6,305.573,30.5573,10.0,305.573,4285201,-1.0,305.573,30.5573,0.328448,100365.0,10-Oct,Priced Within Range,"Consumer, Cyclical",Retail,Retail-Automobile,2.4,0.422705314009692,93.8,3.8,2,22,2019,0
1871321D US,US Well Services Inc,2.6,-28.1,-19.8,325.0,32.5,10.0,325.0,57682V205,-0.6,325.0,32.5,,,10-Oct,Priced Within Range,Energy,Oil&Gas Services,Oil-Field Services,0.66,0.0812797871947232,96.9,4.4,3,10,2017,1
1872495D US,Schultze Special Purpose Acqui,,,0.1,130.0,13.0,10.0,130.0,80821R208,-0.2,130.0,13.0,0.980169,115087.0,10-Oct,Priced Within Range,Diversified,Holding Companies-Divers,Specified Purpose Acquis,2.2,-0.319396281513109,98.3,3.9,12,11,2018,0
